Lead ID,Username/Name,Platform,Link,Pain Point,Quote,Persona Match,Intent Score (1-10),Persona Match (1-10),Reachability (1-10),Influence (1-10),Total Score,Priority Tier,Outreach Message Draft,Contact Date,Response,Follow-up Date,Outcome,Notes
L001,,,,,,,,,,,,"=L1+M1+N1+O1",,,,,,,
L002,,,,,,,,,,,,"=L2+M2+N2+O2",,,,,,,
L003,,,,,,,,,,,,"=L3+M3+N3+O3",,,,,,,
L004,,,,,,,,,,,,"=L4+M4+N4+O4",,,,,,,
L005,,,,,,,,,,,,"=L5+M5+N5+O5",,,,,,,
L006,,,,,,,,,,,,"=L6+M6+N6+O6",,,,,,,
L007,,,,,,,,,,,,"=L7+M7+N7+O7",,,,,,,
L008,,,,,,,,,,,,"=L8+M8+N8+O8",,,,,,,
L009,,,,,,,,,,,,"=L9+M9+N9+O9",,,,,,,
L010,,,,,,,,,,,,"=L10+M10+N10+O10",,,,,,,
L011,,,,,,,,,,,,"=L11+M11+N11+O11",,,,,,,
L012,,,,,,,,,,,,"=L12+M12+N12+O12",,,,,,,
L013,,,,,,,,,,,,"=L13+M13+N13+O13",,,,,,,
L014,,,,,,,,,,,,"=L14+M14+N14+O14",,,,,,,
L015,,,,,,,,,,,,"=L15+M15+N15+O15",,,,,,,
L016,,,,,,,,,,,,"=L16+M16+N16+O16",,,,,,,
L017,,,,,,,,,,,,"=L17+M17+N17+O17",,,,,,,
L018,,,,,,,,,,,,"=L18+M18+N18+O18",,,,,,,
L019,,,,,,,,,,,,"=L19+M19+N19+O19",,,,,,,
L020,,,,,,,,,,,,"=L20+M20+N20+O20",,,,,,,
L021,,,,,,,,,,,,"=L21+M21+N21+O21",,,,,,,
L022,,,,,,,,,,,,"=L22+M22+N22+O22",,,,,,,
L023,,,,,,,,,,,,"=L23+M23+N23+O23",,,,,,,
L024,,,,,,,,,,,,"=L24+M24+N24+O24",,,,,,,
L025,,,,,,,,,,,,"=L25+M25+N25+O25",,,,,,,
L026,,,,,,,,,,,,"=L26+M26+N26+O26",,,,,,,
L027,,,,,,,,,,,,"=L27+M27+N27+O27",,,,,,,
L028,,,,,,,,,,,,"=L28+M28+N28+O28",,,,,,,
L029,,,,,,,,,,,,"=L29+M29+N29+O29",,,,,,,
L030,,,,,,,,,,,,"=L30+M30+N30+O30",,,,,,,
L031,,,,,,,,,,,,"=L31+M31+N31+O31",,,,,,,
L032,,,,,,,,,,,,"=L32+M32+N32+O32",,,,,,,
L033,,,,,,,,,,,,"=L33+M33+N33+O33",,,,,,,
L034,,,,,,,,,,,,"=L34+M34+N34+O34",,,,,,,
L035,,,,,,,,,,,,"=L35+M35+N35+O35",,,,,,,
L036,,,,,,,,,,,,"=L36+M36+N36+O36",,,,,,,
L037,,,,,,,,,,,,"=L37+M37+N37+O37",,,,,,,
L038,,,,,,,,,,,,"=L38+M38+N38+O38",,,,,,,
L039,,,,,,,,,,,,"=L39+M39+N39+O39",,,,,,,
L040,,,,,,,,,,,,"=L40+M40+N40+O40",,,,,,,
L041,,,,,,,,,,,,"=L41+M41+N41+O41",,,,,,,
L042,,,,,,,,,,,,"=L42+M42+N42+O42",,,,,,,
L043,,,,,,,,,,,,"=L43+M43+N43+O43",,,,,,,
L044,,,,,,,,,,,,"=L44+M44+N44+O44",,,,,,,
L045,,,,,,,,,,,,"=L45+M45+N45+O45",,,,,,,
L046,,,,,,,,,,,,"=L46+M46+N46+O46",,,,,,,
L047,,,,,,,,,,,,"=L47+M47+N47+O47",,,,,,,
L048,,,,,,,,,,,,"=L48+M48+N48+O48",,,,,,,
L049,,,,,,,,,,,,"=L49+M49+N49+O49",,,,,,,
L050,,,,,,,,,,,,"=L50+M50+N50+O50",,,,,,,
L051,,,,,,,,,,,,"=L51+M51+N51+O51",,,,,,,
L052,,,,,,,,,,,,"=L52+M52+N52+O52",,,,,,,
L053,,,,,,,,,,,,"=L53+M53+N53+O53",,,,,,,
L054,,,,,,,,,,,,"=L54+M54+N54+O54",,,,,,,
L055,,,,,,,,,,,,"=L55+M55+N55+O55",,,,,,,
L056,,,,,,,,,,,,"=L56+M56+N56+O56",,,,,,,
L057,,,,,,,,,,,,"=L57+M57+N57+O57",,,,,,,
L058,,,,,,,,,,,,"=L58+M58+N58+O58",,,,,,,
L059,,,,,,,,,,,,"=L59+M59+N59+O59",,,,,,,
L060,,,,,,,,,,,,"=L60+M60+N60+O60",,,,,,,
L061,,,,,,,,,,,,"=L61+M61+N61+O61",,,,,,,
L062,,,,,,,,,,,,"=L62+M62+N62+O62",,,,,,,
L063,,,,,,,,,,,,"=L63+M63+N63+O63",,,,,,,
L064,,,,,,,,,,,,"=L64+M64+N64+O64",,,,,,,
L065,,,,,,,,,,,,"=L65+M65+N65+O65",,,,,,,
L066,,,,,,,,,,,,"=L66+M66+N66+O66",,,,,,,
L067,,,,,,,,,,,,"=L67+M67+N67+O67",,,,,,,
L068,,,,,,,,,,,,"=L68+M68+N68+O68",,,,,,,
L069,,,,,,,,,,,,"=L69+M69+N69+O69",,,,,,,
L070,,,,,,,,,,,,"=L70+M70+N70+O70",,,,,,,
